,Country,Year,Co2/capita,Energy(oil/capita),GDP/capita,Urban
57,MYS,2020,7.477034667,2722.603166,9957.526267,77.16
58,MYS,2021,7.552400286,2793.499535,10903.11164,77.696
59,MYS,2022,7.907148055,2867.096519,11748.09193,78.214
60,PAK,2013,0.761674184,421.5471981,1225.434012,35.613
61,PAK,2014,0.789553024,433.4183157,1266.613408,35.819
62,PAK,2015,0.820351031,437.1132549,1380.470208,36.026
63,PAK,2016,0.893837153,446.8314971,1424.691612,36.234
64,PAK,2017,0.955178532,456.0173609,1519.234595,36.442
65,PAK,2018,0.891393768,453.5139786,1569.338146,36.666
66,PAK,2019,0.862094996,431.5157573,1390.41691,36.907
67,PAK,2020,0.946681903,454.250318,1278.397352,37.165
68,PAK,2021,0.988583071,465.0294914,1455.319224,37.44
69,PAK,2022,0.897331151,470.7234965,1538.322813,37.731
70,PHL,2013,0.954798182,443.2697193,2781.279577,45.903
71,PHL,2014,1.002138153,465.6258864,2866.838038,46.093
72,PHL,2015,1.074529342,499.0707763,2909.85818,46.284
73,PHL,2016,1.136202587,520.9808508,2985.19564,46.475
74,PHL,2017,1.254372781,544.4751998,3038.12125,46.682
75,PHL,2018,1.290932531,554.4982835,3168.510366,46.907
76,PHL,2019,1.334754958,551.8665498,3400.789498,47.149
77,PHL,2020,1.211622667,518.1567758,3227.579102,47.408
78,PHL,2021,1.287227915,530.9879807,3484.385939,47.684
79,PHL,2022,1.321805599,550.793804,3548.069306,47.977
80,THA,2013,3.950864766,1943.92304,6018.082447,46.193
81,THA,2014,3.878392056,1926.225826,5801.197892,46.943
82,THA,2015,3.965614507,1932.67391,5688.853354,47.694
83,THA,2016,3.895124461,1985.005309,5833.577156,48.448
84,THA,2017,3.891777294,1988.137815,6413.091825,49.2
85,THA,2018,3.847028358,1951.855636,7099.776501,49.949
86,THA,2019,3.976937477,1989.812342,7605.696578,50.692
87,THA,2020,3.83072746,1884.350737,6985.643939,51.43
88,THA,2021,3.729278541,1848.063361,7057.207548,52.163
89,THA,2022,3.845649053,1867.469683,6909.352818,52.889
90,VNM,2013,1.800403131,674.6781651,2359.517365,32.429
91,VNM,2014,1.950599075,745.6335318,2546.384645,33.115
92,VNM,2015,2.162230813,679.445924,2577.568853,33.809
93,VNM,2016,2.387814049,738.8795334,2735.060438,34.51
94,VNM,2017,2.420792373,757.4799799,2956.109921,35.213
95,VNM,2018,2.949586532,885.6468418,3222.310031,35.919
96,VNM,2019,3.488039818,987.2714724,3440.900254,36.628
97,VNM,2020,3.589588132,991.2812325,3534.039535,37.34
98,VNM,2021,3.447766333,962.1995249,3704.193559,38.052
99,VNM,2022,3.259415781,1023.057136,4147.697772,38.766
